Time,plume,cbpoint,chplume,chole,qsun
2018-10-29 18:28:09.350,752147.0,1111359.0,443923.0,490552.0,962400.0
2018-10-29 18:29:09.340,753711.0,1109741.0,441661.0,492002.0,960579.0
2018-10-29 18:30:09.350,752447.0,1105902.0,437723.0,494347.0,962246.0
2018-10-29 18:31:09.340,749416.0,1105864.0,433410.0,494131.0,958939.0
2018-10-29 18:32:09.350,749481.0,1104915.0,429516.0,495164.0,957709.0
2018-10-29 18:33:09.340,749812.0,1100100.0,427885.0,498549.0,960034.0
2018-10-29 18:34:09.350,749876.0,1094806.0,426648.0,505181.0,963969.0
2018-10-29 18:35:09.340,750270.0,1094372.0,424186.0,509696.0,957365.0
2018-10-29 18:36:09.350,753793.0,1086059.0,424073.0,511670.0,956112.0
2018-10-29 18:37:09.340,756100.0,1080790.0,422987.0,509456.0,957352.0
2018-10-29 18:38:09.350,757623.0,1076571.0,422659.0,508850.0,958489.0
2018-10-29 18:39:09.350,761394.0,1078191.0,422765.0,509750.0,956596.0
2018-10-29 18:40:09.350,759964.0,1070722.0,422287.0,508819.0,958059.0
2018-10-29 18:41:09.350,759722.0,1072561.0,419819.0,505097.0,959417.0
2018-10-29 18:42:09.350,760696.0,1075668.0,420242.0,501236.0,962781.0
2018-10-29 18:43:09.350,762699.0,1071627.0,418279.0,498219.0,965073.0
2018-10-29 18:44:09.350,762488.0,1070134.0,415380.0,494636.0,962298.0
2018-10-29 18:45:09.350,762574.0,1077031.0,414680.0,491150.0,961588.0
2018-10-29 18:46:09.350,760246.0,1073691.0,412706.0,487405.0,960329.0
2018-10-29 18:47:09.340,757576.0,1074198.0,413193.0,486911.0,959378.0
2018-10-29 18:48:09.350,759007.0,1082998.0,414414.0,485857.0,960260.0
2018-10-29 18:49:09.350,760907.0,1083499.0,413997.0,485438.0,962059.0
2018-10-29 18:50:09.350,760655.0,1084748.0,413626.0,487348.0,960457.0
2018-10-29 18:51:09.350,761672.0,1086862.0,414572.0,486528.0,961415.0
2018-10-29 18:52:09.350,761876.0,1095266.0,413712.0,487161.0,963016.0
2018-10-29 18:53:09.350,763148.0,1100630.0,413303.0,485955.0,962531.0
2018-10-29 18:54:09.350,762847.0,1111225.0,410505.0,488642.0,959879.0
2018-10-29 18:55:09.350,765016.0,1123791.0,407651.0,486612.0,958594.0
2018-10-29 18:56:09.350,761550.0,1131568.0,407478.0,483813.0,959048.0
2018-10-29 18:57:09.350,756764.0,1138639.0,405982.0,482396.0,955724.0
2018-10-29 18:58:09.350,756008.0,1139730.0,404501.0,483546.0,953001.0
2018-10-29 18:59:09.350,756047.0,1145949.0,402157.0,482361.0,958087.0
2018-10-29 19:00:09.350,753603.0,1143775.0,401523.0,483751.0,958470.0
2018-10-29 19:01:09.350,753323.0,1146123.0,398721.0,482526.0,957368.0
2018-10-29 19:02:09.350,751314.0,1144416.0,398455.0,482552.0,956002.0
2018-10-29 19:03:09.350,749751.0,1136805.0,396471.0,483064.0,958744.0
2018-10-29 19:04:09.350,749771.0,1133696.0,395144.0,484480.0,961492.0
2018-10-29 19:05:09.350,750262.0,1136402.0,393931.0,485833.0,964375.0
2018-10-29 19:06:09.350,749897.0,1130755.0,394132.0,489347.0,965995.0
2018-10-29 19:07:09.350,748168.0,1125289.0,394199.0,490185.0,966912.0
2018-10-29 19:08:09.340,747940.0,1128039.0,393997.0,488588.0,969536.0
2018-10-29 19:09:09.350,750139.0,1135342.0,393437.0,487181.0,968566.0
2018-10-29 19:10:09.350,748160.0,1139208.0,393993.0,486462.0,966133.0
2018-10-29 19:11:09.350,747932.0,1141038.0,393134.0,487390.0,965658.0
2018-10-29 19:12:09.350,748337.0,1140585.0,393106.0,486404.0,968661.0
2018-10-29 19:13:09.350,751491.0,1135725.0,394050.0,482909.0,966287.0
2018-10-29 19:14:09.350,753138.0,1135567.0,394690.0,483051.0,965652.0
2018-10-29 19:15:09.350,750246.0,1136359.0,391947.0,478975.0,963669.0
2018-10-29 19:16:09.350,747116.0,1134334.0,390609.0,478788.0,961847.0
2018-10-29 19:17:09.350,744533.0,1135363.0,389377.0,477871.0,958069.0
2018-10-29 19:18:09.350,741683.0,1131288.0,387974.0,476604.0,962506.0
2018-10-29 19:19:09.350,741387.0,1126193.0,386941.0,474171.0,963166.0
2018-10-29 19:20:09.350,738323.0,1122038.0,386199.0,478285.0,961724.0
2018-10-29 19:21:09.350,737460.0,1120753.0,385250.0,478034.0,960774.0
2018-10-29 19:22:09.350,739620.0,1119255.0,388060.0,477960.0,962681.0
2018-10-29 19:23:09.350,739713.0,1112118.0,391671.0,478960.0,960004.0
2018-10-29 19:24:09.350,743283.0,1103678.0,391032.0,479167.0,958719.0
2018-10-29 19:25:09.350,742215.0,1094802.0,391390.0,478318.0,957951.0
2018-10-29 19:26:09.350,741977.0,1094554.0,391231.0,477962.0,956514.0
2018-10-29 19:27:09.350,742665.0,1087725.0,391466.0,475931.0,956752.0
2018-10-29 19:28:09.350,740596.0,1082399.0,392991.0,477040.0,958099.0
2018-10-29 19:29:09.350,743575.0,1084452.0,392398.0,475168.0,955567.0
2018-10-29 19:30:09.350,745510.0,1088501.0,396336.0,475570.0,952094.0
2018-10-29 19:31:09.350,746449.0,1087013.0,395843.0,474538.0,950549.0
2018-10-29 19:32:09.350,746189.0,1091937.0,398662.0,474605.0,950469.0
2018-10-29 19:33:09.350,749436.0,1089435.0,399436.0,476064.0,949952.0
2018-10-29 19:34:09.350,748455.0,1081348.0,401661.0,476408.0,950886.0
2018-10-29 19:35:09.350,749932.0,1074081.0,402850.0,477190.0,950469.0
2018-10-29 19:36:09.350,751441.0,1073840.0,405451.0,476196.0,950506.0
2018-10-29 19:37:09.350,747242.0,1070236.0,406099.0,478033.0,945466.0
2018-10-29 19:38:09.350,743050.0,1073181.0,407529.0,473832.0,944085.0
2018-10-29 19:39:09.350,743706.0,1071479.0,411869.0,475811.0,942561.0
2018-10-29 19:40:09.350,741529.0,1065298.0,412606.0,476332.0,944734.0
2018-10-29 19:41:09.350,740718.0,1060978.0,412790.0,473825.0,948469.0
2018-10-29 19:42:09.350,738280.0,1063150.0,413843.0,470622.0,947997.0
2018-10-29 19:43:09.350,737325.0,1061851.0,413922.0,471898.0,946467.0
2018-10-29 19:44:09.350,736360.0,1058606.0,411828.0,471664.0,947908.0
2018-10-29 19:45:09.350,734960.0,1057050.0,413286.0,469259.0,947650.0
2018-10-29 19:46:09.350,736791.0,1049577.0,412041.0,469619.0,950004.0
2018-10-29 19:47:09.350,738656.0,1042222.0,410666.0,471143.0,945970.0
2018-10-29 19:48:09.350,739949.0,1039097.0,407785.0,471221.0,943980.0
2018-10-29 19:49:09.350,741679.0,1038412.0,408100.0,469708.0,947149.0
2018-10-29 19:50:09.350,744162.0,1033730.0,410543.0,471106.0,949126.0
2018-10-29 19:51:09.350,744437.0,1028807.0,411734.0,472810.0,948703.0
2018-10-29 19:52:09.350,746873.0,1028484.0,411429.0,473255.0,948346.0
2018-10-29 19:53:09.350,746913.0,1026267.0,409722.0,472745.0,950804.0
2018-10-29 19:54:09.350,749414.0,1014704.0,404883.0,471016.0,954547.0
2018-10-29 19:55:09.350,754610.0,1008247.0,401473.0,469932.0,954390.0
2018-10-29 19:56:09.350,755971.0,1010370.0,399016.0,468798.0,954733.0
2018-10-29 19:57:09.350,751951.0,1007750.0,398259.0,469880.0,952877.0
2018-10-29 19:58:09.350,749688.0,999841.0,396079.0,466503.0,948726.0
2018-10-29 19:59:09.350,746200.0,992471.0,393728.0,465479.0,952246.0
2018-10-29 20:00:09.350,745071.0,993901.0,390764.0,464632.0,952116.0
2018-10-29 20:01:09.350,744399.0,998746.0,389933.0,463316.0,953360.0
2018-10-29 20:02:09.350,745910.0,994924.0,390516.0,462963.0,956970.0
2018-10-29 20:03:09.350,748898.0,994463.0,394650.0,461097.0,957211.0
2018-10-29 20:04:09.350,749295.0,996562.0,393044.0,463588.0,958757.0
2018-10-29 20:05:09.350,746034.0,996532.0,393861.0,462354.0,956456.0
2018-10-29 20:06:09.350,744864.0,990539.0,390772.0,461695.0,955040.0
2018-10-29 20:07:09.350,745445.0,989524.0,391225.0,461642.0,956564.0
2018-10-29 20:08:09.350,743565.0,988523.0,389841.0,460260.0,955971.0
2018-10-29 20:09:09.350,745628.0,990985.0,387852.0,461057.0,956101.0
2018-10-29 20:10:09.350,745690.0,991728.0,385798.0,462509.0,954697.0
2018-10-29 20:11:09.350,745227.0,988389.0,383866.0,461909.0,955796.0
2018-10-29 20:12:09.350,746131.0,988385.0,379495.0,460918.0,956347.0
2018-10-29 20:13:09.350,743972.0,993639.0,378634.0,459030.0,953762.0
2018-10-29 20:14:09.350,741049.0,990249.0,377336.0,461087.0,953755.0
2018-10-29 20:15:09.350,744910.0,985654.0,376312.0,461081.0,955784.0
2018-10-29 20:16:09.350,746726.0,989653.0,375479.0,459536.0,954007.0
2018-10-29 20:17:09.350,750747.0,994621.0,374791.0,459248.0,952442.0
2018-10-29 20:18:09.350,752091.0,996392.0,373539.0,460732.0,954115.0
2018-10-29 20:19:09.350,752922.0,1000161.0,372690.0,459196.0,955843.0
2018-10-29 20:20:09.350,751478.0,1004326.0,371959.0,458342.0,957170.0
