Time,ch_open_flux,ch_bpoint_flux
2018-10-29 22:36:00,-1.1306077e+19,6.5847785e+19
2018-10-29 22:48:00,-1.1441368e+19,7.381705e+19
2018-10-29 23:00:00,-1.2243107e+19,7.530005e+19
2018-10-29 23:12:00,-1.2768984e+19,6.5339697e+19
2018-10-29 23:24:00,-1.2662755e+19,5.9109165e+19
2018-10-29 23:36:00,-1.1747729e+19,6.896181e+19
2018-10-29 23:48:00,-1.0527314e+19,6.355977e+19
2018-10-30 00:00:00,-1.0778018e+19,7.980779e+19
2018-10-30 00:12:00,-1.1382789e+19,7.403791e+19
2018-10-30 00:24:00,-1.0750929e+19,6.8520615e+19
2018-10-30 00:36:00,-1.0834774e+19,6.145121e+19
2018-10-30 00:48:00,-1.2142732e+19,8.031219e+19
2018-10-30 01:00:00,-1.0634824e+19,6.8202077e+19
2018-10-30 01:12:00,-1.039284e+19,7.133262e+19
2018-10-30 01:24:00,-1.1478406e+19,9.572228e+19
2018-10-30 01:36:00,-1.1332532e+19,9.418302e+19
2018-10-30 01:48:00,-1.0426493e+19,9.070153e+19
2018-10-30 02:00:00,-1.1672688e+19,8.953509e+19
2018-10-30 02:12:00,-1.1115875e+19,9.775852e+19
2018-10-30 02:24:00,-1.0494681e+19,9.796792e+19
2018-10-30 02:36:00,-1.0082537e+19,1.1291326e+20
2018-10-30 02:48:00,-1.0074679e+19,1.1603914e+20
2018-10-30 03:00:00,-1.0697211e+19,1.31411105e+20
2018-10-30 03:12:00,-1.0603609e+19,1.1756791e+20
2018-10-30 03:24:00,-1.0964737e+19,1.2190131e+20
2018-10-30 03:36:00,-1.0708071e+19,1.2984321e+20
2018-10-30 03:48:00,-1.0847535e+19,1.2982399e+20
2018-10-30 04:00:00,-1.1634709e+19,1.1921487e+20
2018-10-30 04:12:00,-1.1074611e+19,1.05465305e+20
2018-10-30 04:24:00,-1.1483902e+19,1.1727521e+20
2018-10-30 04:36:00,-1.2533408e+19,1.0310133e+20
2018-10-30 04:48:00,-1.2157558e+19,1.0205076e+20
2018-10-30 05:00:00,-1.1744354e+19,9.0930025e+19
2018-10-30 05:12:00,-1.2067405e+19,7.3403295e+19
2018-10-30 05:24:00,-1.1960334e+19,7.389469e+19
