Time,Br,Vr,Np,T,Mass Flux
2018-10-31 10:48:00,-24.0132,362.4386,140.19261,65.42121,51528.953
2018-10-31 10:49:00,-21.861324,365.67032,136.67311,66.22258,50634.668
2018-10-31 10:50:00,-27.849583,361.22092,126.12205,61.917088,45951.688
2018-10-31 10:51:00,-31.959171,355.4319,124.52504,60.195705,44696.934
2018-10-31 10:52:00,-32.85204,354.71005,123.18639,59.723186,44052.117
2018-10-31 10:53:00,-31.521141,356.74454,129.45447,62.156643,46678.562
2018-10-31 10:54:00,-26.425398,364.7532,134.12355,64.483604,49471.066
2018-10-31 10:55:00,-29.937618,360.6351,131.71024,63.196163,47981.81
2018-10-31 10:56:00,-31.991053,356.55682,132.24576,61.88091,47682.24
2018-10-31 10:57:00,-37.326504,347.39117,124.99659,58.50028,43978.332
2018-10-31 10:58:00,-39.950947,342.38104,118.14972,55.459423,40929.637
2018-10-31 10:59:00,-28.854357,357.64862,127.57433,60.366695,46011.74
2018-10-31 11:00:00,-27.425497,358.91162,129.2865,60.63001,46758.7
2018-10-31 11:01:00,-24.150051,360.63535,127.87222,60.325325,46493.746
2018-10-31 11:02:00,-26.191534,357.16855,126.431305,58.94061,45524.684
2018-10-31 11:03:00,-23.685076,362.8884,128.10555,60.48765,46815.36
2018-10-31 11:04:00,-27.023571,358.06183,127.329796,59.35765,45940.844
2018-10-31 11:05:00,-33.743217,347.504,129.35652,58.31681,45321.668
2018-10-31 11:06:00,-31.115957,351.67938,130.67204,58.93041,46394.207
2018-10-31 11:07:00,-27.526556,359.0131,128.18341,59.874805,46400.723
2018-10-31 11:08:00,-30.065445,355.7289,121.48727,58.383476,43619.305
2018-10-31 11:09:00,-30.563248,354.57587,119.98447,58.060707,42929.16
2018-10-31 11:10:00,-32.255463,352.3868,125.59355,58.858547,44645.03
2018-10-31 11:11:00,-33.935135,351.39203,132.6975,59.663467,47447.41
2018-10-31 11:12:00,-35.403385,348.36057,128.92981,58.352695,45469.39
2018-10-31 11:13:00,-34.768715,348.53116,129.64673,57.92817,45793.766
2018-10-31 11:14:00,-29.197424,356.38785,141.02557,61.295624,51554.383
2018-10-31 11:15:00,-25.150612,361.33133,138.19257,61.16479,51350.555
2018-10-31 11:16:00,-25.669142,357.90787,143.7954,61.523163,53253.848
2018-10-31 11:17:00,-30.192923,353.97525,154.45512,63.21064,56570.53
2018-10-31 11:18:00,-33.19668,354.46426,153.71956,63.757507,56510.137
2018-10-31 11:19:00,-35.071865,355.31723,126.21073,60.363445,45548.19
2018-10-31 11:20:00,-44.736645,342.4986,143.51378,61.702587,51518.355
2018-10-31 11:21:00,-47.908894,339.1571,140.81364,61.539043,49561.297
2018-10-31 11:22:00,-49.78835,336.06073,136.12949,59.032745,47269.477
2018-10-31 11:23:00,-47.69184,340.8505,140.24539,59.948296,49605.016
2018-10-31 11:24:00,-41.37813,351.40564,144.48438,62.921703,52266.754
2018-10-31 11:25:00,-40.228313,345.9971,144.96521,62.88887,51324.418
2018-10-31 11:26:00,-44.497498,345.3546,156.74991,65.50311,56193.297
2018-10-31 11:27:00,-42.91415,347.72388,166.77187,64.29139,60446.08
2018-10-31 11:28:00,-51.01556,339.19415,120.94717,56.42287,41714.812
2018-10-31 11:29:00,-50.91633,340.87796,117.81373,55.195244,40694.03
2018-10-31 11:30:00,-52.318714,337.89957,114.899895,53.563267,39358.176
2018-10-31 11:31:00,-52.766464,336.4334,116.85682,53.906742,39925.355
2018-10-31 11:32:00,-52.929726,337.61823,124.31451,55.00594,42867.0
2018-10-31 11:33:00,-53.03197,339.23816,118.420616,55.114017,40793.914
2018-10-31 11:34:00,-53.567738,338.36603,121.92724,55.108795,42140.86
2018-10-31 11:35:00,-50.644745,336.53012,132.48149,54.479263,45546.688
2018-10-31 11:36:00,-50.244747,340.05063,126.57083,55.446423,43629.465
2018-10-31 11:37:00,-50.17885,340.88535,122.24423,56.237804,42204.03
2018-10-31 11:38:00,-47.662167,339.90167,128.30682,57.09556,44033.953
2018-10-31 11:39:00,-49.045765,341.7717,127.055084,55.81096,43896.855
2018-10-31 11:40:00,-47.698368,342.50183,134.13185,57.082718,46484.97
2018-10-31 11:41:00,-47.850426,342.6762,129.28032,56.323566,44758.637
2018-10-31 11:42:00,-47.792942,341.53583,129.35825,55.47324,44574.36
2018-10-31 11:43:00,-47.853893,341.33768,131.42665,56.284336,45306.457
2018-10-31 11:44:00,-48.391846,340.55045,133.05676,54.965466,45783.42
2018-10-31 11:45:00,-46.7598,340.68234,137.07796,54.66594,47076.523
2018-10-31 11:46:00,-46.661697,340.34192,130.83563,52.75992,44834.08
2018-10-31 11:47:00,-47.1346,341.75174,133.77266,54.52651,46017.14
2018-10-31 11:48:00,-46.839096,342.56842,136.29713,54.921463,46980.664
2018-10-31 11:49:00,-46.904785,341.8023,146.06299,56.957428,50460.12
2018-10-31 11:50:00,-47.264713,340.4565,140.89128,54.796734,48368.438
2018-10-31 11:51:00,-45.88124,343.5383,147.56487,57.547924,51307.086
2018-10-31 11:52:00,-43.95107,351.14374,182.0429,66.52328,65625.78
2018-10-31 11:53:00,-45.174038,349.50677,180.34819,66.516594,64611.01
2018-10-31 11:54:00,-43.929153,352.2235,184.93568,67.52866,66595.24
2018-10-31 11:55:00,-43.339306,352.27902,187.32825,67.44786,67522.92
2018-10-31 11:56:00,-41.74586,353.3126,182.28157,66.467674,65668.836
2018-10-31 11:57:00,-42.655384,352.24078,186.62366,66.682915,67340.516
2018-10-31 11:58:00,-40.046406,353.09528,185.1477,65.57103,67283.36
2018-10-31 11:59:00,-43.310318,348.9365,174.58777,64.92476,61797.457
2018-10-31 12:00:00,-42.531734,348.8076,174.84685,66.293884,61430.31
2018-10-31 12:01:00,-45.196796,349.71368,166.78691,65.20746,58878.434
2018-10-31 12:02:00,-45.71663,349.8265,169.7172,65.613304,60238.883
2018-10-31 12:03:00,-45.399548,350.46036,167.51396,65.16042,59525.438
2018-10-31 12:04:00,-45.66809,348.72784,162.96812,62.746487,57628.562
2018-10-31 12:05:00,-45.66988,347.9967,171.66838,64.86755,60807.508
2018-10-31 12:06:00,-46.094254,346.61935,167.56367,62.172794,59060.82
2018-10-31 12:07:00,-44.909004,348.01807,166.73087,62.51246,59079.29
2018-10-31 12:08:00,-43.058445,350.74252,169.83064,63.784077,60920.83
2018-10-31 12:09:00,-42.714188,349.83453,172.72989,63.683975,62124.195
2018-10-31 12:10:00,-42.253376,345.89212,168.56686,61.89884,59347.33
2018-10-31 12:11:00,-38.03333,350.84225,176.9923,65.84482,63358.117
2018-10-31 12:12:00,-32.88346,359.1787,174.0818,69.627785,63930.496
2018-10-31 12:13:00,-33.562565,360.56735,165.46394,69.2812,60922.86
2018-10-31 12:14:00,-31.401638,369.20303,160.29552,74.591225,60216.203
2018-10-31 12:15:00,-16.489765,368.72217,129.00453,68.86067,47801.633
2018-10-31 12:16:00,-19.734015,367.35175,127.70939,68.66428,47074.027
2018-10-31 12:17:00,-28.373539,363.00116,147.16986,72.06566,53929.902
2018-10-31 12:18:00,-34.69128,356.5892,164.22694,73.147064,59041.297
2018-10-31 12:19:00,-34.61613,356.11517,154.2573,72.37127,55257.18
2018-10-31 12:20:00,-36.842377,353.58118,156.00745,71.29301,55689.3
2018-10-31 12:21:00,-37.721985,353.39655,153.48796,70.80928,55059.508
2018-10-31 12:22:00,-39.19899,350.31552,121.904625,64.76462,43116.395
2018-10-31 12:23:00,-39.160572,349.62415,121.74407,64.61311,42913.016
2018-10-31 12:24:00,-36.875996,351.9461,165.30107,71.0364,59981.355
2018-10-31 12:25:00,-37.586685,351.91473,142.35371,70.942505,50747.484
2018-10-31 12:26:00,-35.846905,350.95184,149.30492,70.89853,53124.27
2018-10-31 12:27:00,-34.321293,352.25714,154.47108,71.769745,55024.605
2018-10-31 12:28:00,-32.781498,353.5655,157.26956,72.12815,56673.473
2018-10-31 12:29:00,-29.676857,355.9339,136.28246,71.26493,48813.598
2018-10-31 12:30:00,-29.38519,361.21857,138.7709,72.76805,50423.664
2018-10-31 12:31:00,3.047903,388.48547,128.11473,72.32857,50173.258
2018-10-31 12:32:00,9.692984,392.02216,129.04677,72.19454,50907.754
2018-10-31 12:33:00,10.588364,393.63675,128.26138,71.924225,50808.32
2018-10-31 12:34:00,9.982608,395.65564,119.88787,72.16918,47720.754
2018-10-31 12:35:00,15.0996685,404.14545,112.29659,72.062744,45605.98
2018-10-31 12:36:00,-2.925198,370.1306,128.1704,67.94591,47867.375
2018-10-31 12:37:00,2.294958,379.5449,127.17478,69.932365,48605.33
2018-10-31 12:38:00,3.5227122,376.36368,130.87393,69.70801,49594.035
2018-10-31 12:39:00,-16.806147,363.2984,167.41531,72.58827,62742.05
2018-10-31 12:40:00,-7.616534,375.93628,176.34247,74.83184,67836.84
2018-10-31 12:41:00,-2.950658,378.70404,162.55719,65.413445,62380.883
2018-10-31 12:42:00,0.2596885,377.53098,160.39622,63.903305,61432.75
2018-10-31 12:43:00,1.0167488,379.79214,165.81693,68.95028,64119.82
2018-10-31 12:44:00,-3.348731,373.23492,173.90442,67.73736,66355.49
2018-10-31 12:45:00,-7.02072,372.2392,175.59525,67.620155,66898.62
2018-10-31 12:46:00,-25.076033,350.6382,186.19641,63.337914,67195.695
2018-10-31 12:47:00,-29.60883,346.01154,209.02972,63.374428,76017.05
2018-10-31 12:48:00,-30.292528,345.9516,219.23235,63.466526,80331.22
2018-10-31 12:49:00,-26.674324,350.0205,214.85309,64.210434,79167.35
2018-10-31 12:50:00,-16.553879,360.26678,203.8486,67.70177,76274.09
2018-10-31 12:51:00,-17.834583,359.42667,191.31569,68.36192,70703.195
2018-10-31 12:52:00,-15.236548,366.25345,179.87448,67.892944,66664.07
2018-10-31 12:53:00,-21.788048,357.2385,209.82805,66.37848,77134.69
2018-10-31 12:54:00,-23.377802,352.41495,208.56302,63.769978,75716.27
2018-10-31 12:55:00,-15.955708,359.79373,212.60603,67.424835,79843.625
2018-10-31 12:56:00,-15.808737,360.42282,210.67834,66.68444,78233.21
2018-10-31 12:57:00,-16.870594,361.57144,203.00406,66.61715,75164.42
2018-10-31 12:58:00,-15.626431,362.87314,206.19322,67.82973,76152.21
2018-10-31 12:59:00,-9.669085,370.5931,193.76865,70.48901,72826.695
2018-10-31 13:00:00,-13.624312,368.12244,184.7775,68.7277,68961.37
2018-10-31 13:01:00,-10.121476,373.86353,178.72066,69.68049,67457.055
2018-10-31 13:02:00,-2.7432022,378.93738,182.38956,72.463684,69637.3
2018-10-31 13:03:00,8.675973,389.12994,159.66255,71.149216,62590.965
2018-10-31 13:04:00,11.283996,391.8919,155.19983,70.88684,61180.7
2018-10-31 13:05:00,14.530339,395.2849,164.49838,73.21304,65406.312
2018-10-31 13:06:00,13.348361,394.90573,163.73958,73.55505,64985.934
2018-10-31 13:07:00,8.688491,392.0151,166.36375,72.377075,65606.445
2018-10-31 13:08:00,3.5748165,386.35574,172.93796,72.939,67273.414
2018-10-31 13:09:00,6.5001173,391.8082,173.15622,72.61198,68297.48
2018-10-31 13:10:00,6.531123,392.0913,167.72556,70.99781,66259.375
2018-10-31 13:11:00,9.9511595,393.68015,162.7567,69.694534,64568.285
2018-10-31 13:12:00,10.967244,394.82513,158.44136,69.42145,63056.344
2018-10-31 13:13:00,16.674698,401.84964,157.64496,70.358536,63703.418
2018-10-31 13:14:00,16.245554,402.48196,155.04462,69.39728,62786.395
2018-10-31 13:15:00,12.992045,395.92114,148.72552,67.33855,59264.547
2018-10-31 13:16:00,18.835371,403.8255,146.07115,68.52875,59247.062
2018-10-31 13:17:00,20.192162,404.3838,144.73651,67.37016,58761.39
2018-10-31 13:18:00,18.358387,404.47363,146.31596,67.76818,59469.99
2018-10-31 13:19:00,21.832191,403.26562,146.56955,68.40735,59490.12
2018-10-31 13:20:00,14.514507,394.70966,153.17899,68.071365,60577.867
2018-10-31 13:21:00,4.0801845,385.93475,156.99107,66.268135,60637.35
2018-10-31 13:22:00,-6.9902024,374.0066,163.52501,65.45498,61291.785
2018-10-31 13:23:00,24.568722,406.75482,143.4608,66.70571,58640.086
2018-10-31 13:24:00,27.166826,405.2354,143.20172,66.56173,58293.51
2018-10-31 13:25:00,23.490364,401.28763,141.03012,65.3452,56947.06
2018-10-31 13:26:00,5.889138,379.0679,165.32797,69.38055,64275.08
